Tugas,Tanggal,Waktu ,Latitude,Longitude,Altitude,Cuaca,Suhu Udara,Precipitation,Kelembapan,NpK,pH,Foto
25,21/05/2024,10:58:00,-8.56477,115.409036,2 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/25_aug_114.jpg
26,21/05/2024,11:00:00,-8.564627,115.40898,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/26_aug_115.jpg
27,21/05/2024,11:01:00,-8.564476,115.408911,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/27_aug_116.jpg
28,21/05/2024,11:03:00,-8.564333,115.408881,2 mdpl,Cerah Berawan,28°C,10%,84%,5.4,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/28_aug_117.jpg
29,21/05/2024,11:05:00,-8.56484,115.408989,2 mdpl,Cerah Berawan,28°C,10%,84%,4.4,6.3,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/29_aug_118.jpg
30,21/05/2024,11:07:00,-8.565199,115.409251,2 mdpl,Cerah Berawan,28°C,10%,84%,4.0,6.6,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/30_aug_119.jpg
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_120.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_121.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_122.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_123.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_124.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_125.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_126.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_127.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_128.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_129.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_130.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_131.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_132.jpg
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_133.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_134.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_135.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_136.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_137.jpg
19,21/05/2024,10:47:00,-8.565972,115.409832,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/19_aug_138.jpg
20,21/05/2024,10:49:00,-8.565959,115.409529,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/20_aug_139.jpg
21,21/05/2024,10:50:00,-8.565915,115.409382,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/21_aug_140.jpg
22,21/05/2024,10:52:00,-8.565633,115.409384,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/22_aug_141.jpg
23,21/05/2024,10:54:00,-8.565389,115.409547,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/23_aug_142.jpg
24,21/05/2024,10:56:00,-8.564951,115.409413,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/24_aug_143.jpg
25,21/05/2024,10:58:00,-8.56477,115.409036,2 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/25_aug_144.jpg
26,21/05/2024,11:00:00,-8.564627,115.40898,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/26_aug_145.jpg
27,21/05/2024,11:01:00,-8.564476,115.408911,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/27_aug_146.jpg
28,21/05/2024,11:03:00,-8.564333,115.408881,2 mdpl,Cerah Berawan,28°C,10%,84%,5.4,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/28_aug_147.jpg
29,21/05/2024,11:05:00,-8.56484,115.408989,2 mdpl,Cerah Berawan,28°C,10%,84%,4.4,6.3,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/29_aug_148.jpg
30,21/05/2024,11:07:00,-8.565199,115.409251,2 mdpl,Cerah Berawan,28°C,10%,84%,4.0,6.6,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/30_aug_149.jpg
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_150.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_151.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_152.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_153.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_154.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_155.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_156.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_157.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_158.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_159.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_160.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_161.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_162.jpg
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_163.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_164.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_165.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_166.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_167.jpg
19,21/05/2024,10:47:00,-8.565972,115.409832,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/19_aug_168.jpg
20,21/05/2024,10:49:00,-8.565959,115.409529,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/20_aug_169.jpg
21,21/05/2024,10:50:00,-8.565915,115.409382,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/21_aug_170.jpg
22,21/05/2024,10:52:00,-8.565633,115.409384,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/22_aug_171.jpg
23,21/05/2024,10:54:00,-8.565389,115.409547,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/23_aug_172.jpg
24,21/05/2024,10:56:00,-8.564951,115.409413,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/24_aug_173.jpg
25,21/05/2024,10:58:00,-8.56477,115.409036,2 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/25_aug_174.jpg
26,21/05/2024,11:00:00,-8.564627,115.40898,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/26_aug_175.jpg
27,21/05/2024,11:01:00,-8.564476,115.408911,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/27_aug_176.jpg
28,21/05/2024,11:03:00,-8.564333,115.408881,2 mdpl,Cerah Berawan,28°C,10%,84%,5.4,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/28_aug_177.jpg
29,21/05/2024,11:05:00,-8.56484,115.408989,2 mdpl,Cerah Berawan,28°C,10%,84%,4.4,6.3,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/29_aug_178.jpg
30,21/05/2024,11:07:00,-8.565199,115.409251,2 mdpl,Cerah Berawan,28°C,10%,84%,4.0,6.6,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/30_aug_179.jpg
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_180.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_181.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_182.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_183.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_184.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_185.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_186.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_187.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_188.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_189.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_190.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_191.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_192.jpg
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_193.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_194.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_195.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_196.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_197.jpg
19,21/05/2024,10:47:00,-8.565972,115.409832,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/19_aug_198.jpg
20,21/05/2024,10:49:00,-8.565959,115.409529,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/20_aug_199.jpg
21,21/05/2024,10:50:00,-8.565915,115.409382,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/21_aug_200.jpg
22,21/05/2024,10:52:00,-8.565633,115.409384,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/22_aug_201.jpg
23,21/05/2024,10:54:00,-8.565389,115.409547,2 mdpl,Cerah Berawan,28°C,10%,84%,5.2,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/23_aug_202.jpg
24,21/05/2024,10:56:00,-8.564951,115.409413,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/24_aug_203.jpg
25,21/05/2024,10:58:00,-8.56477,115.409036,2 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/25_aug_204.jpg
26,21/05/2024,11:00:00,-8.564627,115.40898,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/26_aug_205.jpg
27,21/05/2024,11:01:00,-8.564476,115.408911,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.7,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/27_aug_206.jpg
28,21/05/2024,11:03:00,-8.564333,115.408881,2 mdpl,Cerah Berawan,28°C,10%,84%,5.4,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/28_aug_207.jpg
29,21/05/2024,11:05:00,-8.56484,115.408989,2 mdpl,Cerah Berawan,28°C,10%,84%,4.4,6.3,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/29_aug_208.jpg
30,21/05/2024,11:07:00,-8.565199,115.409251,2 mdpl,Cerah Berawan,28°C,10%,84%,4.0,6.6,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/30_aug_209.jpg
1,21/05/2024,9:51:00,-8.5676851,115.4694639,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 1_aug_210.jpg
2,21/05/2024,10:06:00,-8.5676812,115.4099071,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 2_aug_211.jpg
3,21/05/2024,10:08:00,-8.567478,115.409755,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh 3_aug_212.jpg
4,21/05/2024,10:10:00,-8.56719,115.41007,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh4_aug_213.jpg
5,21/05/2024,10:13:00,-8.567238,115.41096,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh5_aug_214.jpg
6,21/05/2024,10:16:00,-8.567438,115.41108,2 mdpl,Cerah Berawan,28°C,10%,84%,6.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh6_aug_215.jpg
7,21/05/2024,10:18:00,-8.567355,115.411423,1 mdpl,Cerah Berawan,28°C,10%,84%,6.1,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh7_aug_216.jpg
8,21/05/2024,10:21:00,-8.567854,115.411653,1 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh8_aug_217.jpg
9,21/05/2024,10:22:00,-8.567941,115.411646,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh9_aug_218.jpg
10,21/05/2024,10:24:00,-8.56835,115.411548,1 mdpl,Cerah Berawan,28°C,10%,84%,5.1,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/tnh10_aug_219.jpg
11,21/05/2024,10:31:00,-8.568535,115.408873,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/11_aug_220.jpg
12,21/05/2024,10:34:00,-8.568321,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.3,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/12_aug_221.jpg
13,21/05/2024,10:35:00,-8.568115,115.408935,2 mdpl,Cerah Berawan,28°C,10%,84%,5.0,6.8,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/13_aug_222.jpg
14,21/05/2024,10:36:00,-8.567913,115.408968,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,7.0,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/14_aug_223.jpg
15,21/05/2024,10:40:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.5,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/15_aug_224.jpg
16,21/05/2024,10:42:00,-8.566528,115.409432,2 mdpl,Cerah Berawan,28°C,10%,84%,4.1,6.5,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/16_aug_225.jpg
17,21/05/2024,10:43:00,-8.566347,115.409406,2 mdpl,Cerah Berawan,28°C,10%,84%,4.9,6.2,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/17_aug_226.jpg
18,21/05/2024,10:45:00,-8.566369,115.409811,2 mdpl,Cerah Berawan,28°C,10%,84%,5.5,6.9,/Users/vignaulucas/Desktop/stikom_models/stikomModels/preprocessing_steps_augmentedData/augmented_images/18_aug_227.jpg
